1,اتریش
2,اتیوپی
3,"آذربايجان (جمهوری آذربایجان)"
4,اردن
5,آرژانتین
6,ارمنستان
7,اروگوئه
8,اريتره
9,ازبکستان
10,اسپانیا
11,استرالیا
12,استونی
13,اسلوواکی
14,اسلوونی
15,"آفریقای جنوبی"
16,"آفریقای مرکزی"
17,افغانستان
18,اکوادور
19,آلبانی
20,الجزایر
21,السالوادور
22,آلمان
23,"امارات متحده عربی"
24,"آنتیگوا و باربودا"
25,آندورا
26,اندونزی
27,آنگولا
28,اوکراین
29,اوگاندا
30,"ایالات متحده آمریکا"
31,ایتالیا
32,ایران
33,ایرلند
34,ایسلند
35,باربادوس
36,باهاما
37,بحرین
38,برزیل
39,برونئی
40,بریتانیا
41,بلاروس
42,بلژیک
43,بلغارستان
44,بلیز
45,بنگلادش
46,بنین
47,بوتان
48,بوتسوانا
49,بورکینافاسو
50,بوروندی
51,"بوسنی هرزگووین"
52,بولیوی
53,"پاپوا گینه نو"
54,پاراگوئه
55,پاناما
56,پاکستان
57,پرتغال
58,پرو
59,پورتوریکو
60,تاجیکستان
61,تانزانیا
62,تایلند
63,تایوان
64,ترکمنستان
65,ترکیه
66,"ترینیداد و توباگو"
67,توگو
68,تونس
69,تونگا
70,تووالو
71,"تیمور شرقی"
72,جامائیکا
73,"جزایر سلیمان"
74,"جزایر مارشال"
75,"جمهوری چک"
76,"جمهوری خلق چین"
77,"جمهوری خلق کنگو (زئیر)"
78,"جمهوری دومینیکن"
79,جیبوتی
80,چاد
81,دانمارک
82,دومینیکا
83,رواندا
84,روسیه
85,رومانی
86,زامبیا
87,"زلاند نو"
88,زیمبابوه
89,ژاپن
90,"سائوتومه و پرنسیپ"
91,"ساحل عاج"
92,"ساموآی غربی"
93,"سان مارینو"
94,سری‌لانکا
95,"سنت کیتس و نویس"
96,سنگاپور
97,سنگال
98,سوئد
99,سوئیس
100,سوازیلند
101,سودان
102,سورینام
103,سوریه
104,سومالی
105,سیرالئون
106,سیشل
107,شیلی
108,صربستان
109,عراق
110,"عربستان سعودی"
111,عمان
112,غنا
113,فرانسه
114,فلسطین
115,فنلاند
116,فیجی
117,فیلیپین
118,قبرس
119,قرقیزستان
120,قزاقستان
121,"قطر (کشور)|قَطَر"
122,کامبوج
123,کامرون
124,کانادا
125,"کره جنوبی"
126,"کره شمالی"
127,کرواسی
128,کستاریکا
129,کلمبیا
130,کنگو
131,کنیا
132,کوبا
133,کومور
134,کویت
135,"کیپ ورد"
136,کیریباتی
137,گابن
138,گامبیا
139,گرجستان
140,گرنادا
141,گرینلند
142,گوآتمالا
143,گویان
144,گینه
145,"گینه استوایی"
146,"گینه بیسائو"
147,لائوس
148,لبنان
149,لتونی
150,لسوتو
151,لهستان
152,لوکزامبورگ
153,لیبریا
154,لیبی
155,لیتوانی
156,لیختنشتاین
157,ماداگاسکار
158,مالاوی
159,"مالت (کشور)|مالت"
160,مالدیو
161,مالزی
162,مالی
163,مجارستان
164,مراکش
165,مصر
166,مغولستان
167,مقدونیه
168,مکزیک
169,موریتانی
170,موریس
171,موزامبیک
172,مولداوی
173,موناکو
174,میانمار
175,میکرونزی
176,نائورو
177,نامیبیا
178,نپال
179,نروژ
180,نیجر
181,نیجریه
182,نیکاراگوآ
183,واتیکان
184,وانواتو
185,ونزوئلا
186,ویتنام
187,هائیتی
188,هلند
189,هندوراس
190,هندوستان
191,یونان
192,یمن
